SmellDetectionQualityEvaluation.QualityEvaluator	private void performEvaluation(HashMap<java.lang.String,ArrayList<java.lang.String>>, HashMap<java.lang.String,ArrayList<java.lang.String>>) 	aux	B12	0/3
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void detectOnClick() 	qualityEvaluator	B1	0/3
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void detectOnClick() 	rulesManager	B1	0/3
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void setupScrollPane(List<java.lang.String>, boolean) 	label	B3	0/3
g1.ISCTE.NewGUI	private javafx.scene.layout.VBox getLeft() 	filePane	B1	0/3
MetricExtraction.MetricExtractor	private void exportResultsToFile() 	excelCreator	B15	0/3
MetricExtraction.MetricExtractor	private void exportResultsToFile() 	myCell	B9	0/3
MetricExtraction.MetricExtractor	private void exportResultsToFile() 	myCell	B10	0/2
MetricExtraction.MethodVisitor	public sealed void visit(com.github.javaparser.ast.body.MethodDeclaration, java.lang.Object) 	class_methods	B3	0/2
MetricExtraction.MetricExtractor	public void executeExtraction() throws java.lang.InterruptedException	metrics	B7	0/2
RuleEditor.FinalMain	private void addCustomNode(RuleEditor.CustomNode) 	ruleNodes	B1	0/2
RuleEditor.FinalMain	private void configureSceneAndStage(javafx.scene.Scene, javafx.stage.Stage) 	stage	B1	0/2
RuleEditor.FinalMain	private void configureSceneMainView(javafx.scene.control.SplitPane, javafx.stage.Stage) 	splitPane	B1	0/2
RuleEditor.LogicBlock	private void setDrag(javafx.scene.layout.VBox) 	vBox	B1	0/2
RuleEditor.LogicBlock	private void setDrag(javafx.scene.layout.VBox) 	whatIsBeingDragged	B1	0/2
RuleEditor.RulesManager	private void resetEverything() 	ruleFileManager	B1	0/2
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void detectOnClick() 	consoleOutputs	B8	0/2
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void detectOnClick() 	detectionButton	B4	0/2
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void detectOnClick() 	progressBar	B4	0/2
g1.ISCTE.NewGUI	private javafx.scene.layout.VBox centerPane() 	centerPane	B1	0/2
g1.ISCTE.MyTree	private void percolateFolder(javafx.scene.layout.VBox, java.io.File) 	imageView	B6	2/8
g1.ISCTE.MyTree	private void percolateFolder(javafx.scene.layout.VBox, java.io.File) 	imageView	B9	0/2
MetricExtraction.ExtractionWorker	private void extractClassMetrics(com.github.javaparser.ast.body.ClassOrInterfaceDeclaration, java.lang.String) throws java.io.FileNotFoundException	wmc_class	B1	3/8
MetricExtraction.ExtractionWorker	private void extractClassMetrics(com.github.javaparser.ast.body.ClassOrInterfaceDeclaration, java.lang.String) throws java.io.FileNotFoundException	wmc_class	B2	0/3
MetricExtraction.ExtractionWorker	private void extractClassMetrics(com.github.javaparser.ast.body.ClassOrInterfaceDeclaration, java.lang.String) throws java.io.FileNotFoundException	wmc_class	B3	0/2
RuleEditor.RulesManager	private javafx.scene.Node getRulePane(org.json.simple.JSONObject) 	label	B1	3/18
RuleEditor.RulesManager	private javafx.scene.control.Button setUpAddNewRuleButton() 	contextMenu	B1	1/5
g1.ISCTE.MyTree	private void percolateFolder(javafx.scene.layout.VBox, java.io.File) 	label	B6	2/10
MetricExtraction.ExtractionWorker	public void run() 	class_package	B1	1/4
RuleEditor.RulesManager	private javafx.scene.control.Button setUpLoadRulesFileButton() 	fileChooser	B1	1/4
RuleEditor.RulesManager	private javafx.scene.control.Button setUpSetRulesFileButton() 	addNewRuleButton	B1	1/4
RuleEditor.RulesManager	private javafx.scene.control.Button setUpSetRulesFileButton() 	fileChooser	B1	1/4
RuleEditor.RulesManager	private javafx.scene.control.Button setUpSetRulesFileButton() 	ruleFileManager	B1	1/4
RuleEditor.RulesManager	private javafx.scene.Node getRulePane(org.json.simple.JSONObject) 	finalMain	B1	2/8
RuleEditor.RulesManager	private javafx.scene.Node getRulePane(org.json.simple.JSONObject) 	popupStage	B1	2/8
g1.ISCTE.MyTree	private void percolateFolder(javafx.scene.layout.VBox, java.io.File) 	imageView	B6	2/7
SmellDetectionQualityEvaluation.QualityEvaluator	private void performEvaluation(HashMap<java.lang.String,ArrayList<java.lang.String>>, HashMap<java.lang.String,ArrayList<java.lang.String>>) 	consoleOutputs	B3	7/17
SmellDetectionQualityEvaluation.QualityEvaluator	private void performEvaluation(HashMap<java.lang.String,ArrayList<java.lang.String>>, HashMap<java.lang.String,ArrayList<java.lang.String>>) 	consoleOutputs	B4	6/16
SmellDetectionQualityEvaluation.QualityEvaluator	private void performEvaluation(HashMap<java.lang.String,ArrayList<java.lang.String>>, HashMap<java.lang.String,ArrayList<java.lang.String>>) 	consoleOutputs	B5	4/14
g1.ISCTE.MyTree	private void percolateFolder(javafx.scene.layout.VBox, java.io.File) 	image	B6	2/5
g1.ISCTE.MyTree	private void percolateFolder(javafx.scene.layout.VBox, java.io.File) 	image	B6	2/5
g1.ISCTE.AppStyle	public static void addFadingInGroup(double, double, ArrayList<javafx.scene.control.Label>, javafx.scene.layout.VBox, javafx.scene.control.ProgressBar) 	progressBar	B1	4/9
CodeSmellDetection.RuleApplier	private void addColumn(java.lang.String, int) 	myCell	B3	1/2
CodeSmellDetection.RuleApplier	public void processRules() throws java.io.IOException	offset	B3	1/2
MetricExtraction.MetricExtractor	private void exportResultsToFile() 	currentRow	B8	1/2
SmellDetectionQualityEvaluation.QualityEvaluatorApp	private void detectOnClick() 	mainBox	B9	1/2
g1.ISCTE.NewGUI	private javafx.scene.layout.VBox getSquareInfoBox(java.lang.String, java.lang.String) 	metricBoxes	B1	1/2
RuleEditor.FinalMain	private javafx.scene.layout.VBox getBlocksVBox() 	inDragObject	B2	2/3
RuleEditor.FinalMain	private javafx.scene.layout.VBox getBlocksVBox() 	inDragObject	B3	1/2
MetricExtraction.MetricExtractor	private void exportResultsToFile() 	file	B11	2/3
